,STID,YEAR,MONTH,DAY,TR05,TR25,TR60,TR75
200157,ACME,1998,1,1,1.3635,1.3758,1.4249,1.5248
200159,ALTU,1998,1,1,1.7243,1.5529,,
200179,BUFF,1998,1,1,,,,
200288,WEST,1998,1,1,1.5008,1.5126,1.5175,
200294,ACME,1998,1,2,1.3594,1.3749,1.4274,1.5294
200296,ALTU,1998,1,2,1.7251,1.5515,,
200316,BUFF,1998,1,2,,,,
200425,WEST,1998,1,2,1.5037,1.5112,1.5161,
200431,ACME,1998,1,3,1.3503,1.3684,1.422,1.5258
200433,ALTU,1998,1,3,1.7422,1.5479,,
200453,BUFF,1998,1,3,,,,
200562,WEST,1998,1,3,1.5022,1.5085,1.5168,
200568,ACME,1998,1,4,1.3543,1.3706,1.4149,1.5078
200570,ALTU,1998,1,4,1.7122,1.5501,,
200590,BUFF,1998,1,4,,,,
200699,WEST,1998,1,4,1.4813,1.4935,1.5024,
200705,ACME,1998,1,5,1.3463,1.3652,1.4096,1.5039
200707,ALTU,1998,1,5,1.5881,1.5511,,
200727,BUFF,1998,1,5,,,,
200836,WEST,1998,1,5,1.4667,1.4901,1.4994,
200842,ACME,1998,1,6,1.3517,1.3688,1.4164,1.5137
200844,ALTU,1998,1,6,1.5906,1.5468,,
200864,BUFF,1998,1,6,,,,
200973,WEST,1998,1,6,1.4577,1.4854,1.4885,
200979,ACME,1998,1,7,1.3568,1.3716,1.4136,1.5128
200981,ALTU,1998,1,7,1.5879,1.5474,,
201001,BUFF,1998,1,7,,,,
201110,WEST,1998,1,7,1.4651,1.4952,1.499,
201116,ACME,1998,1,8,1.3599,1.3744,1.4169,1.5121
201118,ALTU,1998,1,8,1.5817,1.5421,,
201138,BUFF,1998,1,8,,,,
201247,WEST,1998,1,8,1.4651,1.4962,1.502,
201253,ACME,1998,1,9,1.3587,1.3735,1.4159,1.5113
201255,ALTU,1998,1,9,1.582,1.5421,,
201275,BUFF,1998,1,9,,,,
201384,WEST,1998,1,9,1.4634,1.4959,1.5024,
201390,ACME,1998,1,10,1.3629,1.3776,1.4201,1.513
201392,ALTU,1998,1,10,1.5846,1.5458,,
201412,BUFF,1998,1,10,,,,
201521,WEST,1998,1,10,1.4791,1.5039,1.5043,
201527,ACME,1998,1,11,1.3596,1.3721,1.4157,1.5091
201529,ALTU,1998,1,11,1.5812,1.5442,,
201549,BUFF,1998,1,11,,,,
201658,WEST,1998,1,11,1.4833,1.5021,1.5081,
201664,ACME,1998,1,12,1.3576,1.3717,1.4157,1.513
201666,ALTU,1998,1,12,1.5774,1.5442,,
201686,BUFF,1998,1,12,,,,
201795,WEST,1998,1,12,1.4757,1.4934,1.502,
201801,ACME,1998,1,13,1.3625,1.3739,1.4173,1.5137
201803,ALTU,1998,1,13,1.6399,1.5463,,
201823,BUFF,1998,1,13,,,,
201932,WEST,1998,1,13,1.4766,1.5008,1.504,
201938,ACME,1998,1,14,1.358,1.3695,1.4138,1.5087
201940,ALTU,1998,1,14,1.6587,1.5437,,
201960,BUFF,1998,1,14,,,,
202069,WEST,1998,1,14,1.4745,1.4966,1.5057,
202075,ACME,1998,1,15,1.364,1.3721,1.4188,1.5122
202077,ALTU,1998,1,15,,1.5469,,
202097,BUFF,1998,1,15,,,,
202206,WEST,1998,1,15,1.4756,1.5001,1.5073,
202212,ACME,1998,1,16,1.3612,1.3719,1.4148,1.5087
202214,ALTU,1998,1,16,1.757,1.5475,,
202234,BUFF,1998,1,16,,,,
202343,WEST,1998,1,16,1.4799,1.4996,1.505,
202349,ACME,1998,1,17,1.3589,1.3672,1.416,1.5074
202351,ALTU,1998,1,17,1.8252,1.548,,
202371,BUFF,1998,1,17,,,,
202480,WEST,1998,1,17,1.4765,1.4974,1.5018,
202486,ACME,1998,1,18,1.3602,1.3682,1.4172,1.509
202488,ALTU,1998,1,18,1.8956,1.5483,,
202508,BUFF,1998,1,18,,,,
